nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAN 78 JAKARTA,20101588,SMA,Negeri,1228,66,Palmerah,Kota Jakarta Barat
SMAN 99 JAKARTA,20103256,SMA,Negeri,1044,60,Ciracas,Kota Jakarta Timur
SMAN 70 JAKARTA,20102570,SMA,Negeri,1120,57,Kebayoran Baru,Kota Jakarta Selatan
SMAN 36 JAKARTA,20103280,SMA,Negeri,932,54,Pulo Gadung,Kota Jakarta Timur
SMAN 98 JAKARTA,20103257,SMA,Negeri,1039,52,Pasar Rebo,Kota Jakarta Timur
SMAN 55 JAKARTA,20102575,SMA,Negeri,897,50,Pancoran,Kota Jakarta Selatan
SMAN 68 JAKARTA,20100199,SMA,Negeri,896,49,Senen,Kota Jakarta Pusat
SMAN 6 JAKARTA,20102574,SMA,Negeri,1007,49,Kebayoran Baru,Kota Jakarta Selatan
SMAN 66 JAKARTA,20102571,SMA,Negeri,856,48,Cilandak,Kota Jakarta Selatan
SMAN 91 JAKARTA,20103278,SMA,Negeri,708,46,Duren Sawit,Kota Jakarta Timur
SMAN 75 JAKARTA,20100779,SMA,Negeri,782,44,Cilincing,Kota Jakarta Utara
SMAN 72 JAKARTA,20100796,SMA,Negeri,798,43,Kelapa Gading,Kota Jakarta Utara
SMAS PKP,20103183,SMA,Swasta,681,43,Ciracas,Kota Jakarta Timur
SMAN 59 JAKARTA,20103308,SMA,Negeri,784,43,Duren Sawit,Kota Jakarta Timur
SMAN 83 JAKARTA,20100781,SMA,Negeri,660,40,Cilincing,Kota Jakarta Utara
SMAN 96 JAKARTA,20101583,SMA,Negeri,782,40,Cengkareng,Kota Jakarta Barat
SMAN 18 JAKARTA,20100809,SMA,Negeri,775,39,Tanjung Priok,Kota Jakarta Utara
SMAN 7 JAKARTA,20100200,SMA,Negeri,724,39,Tanah Abang,Kota Jakarta Pusat
SMAS GONZAGA JAKARTA,20107299,SMA,Swasta,786,39,Pasar Minggu,Kota Jakarta Selatan
SMAN 62 JAKARTA,20103306,SMA,Negeri,672,38,Kramat Jati,Kota Jakarta Timur
SMAS BINA DHARMA JAKARTA,20103403,SMA,Swasta,441,36,Ciracas,Kota Jakarta Timur
SMAN 12 JAKARTA,20103285,SMA,Negeri,671,35,Duren Sawit,Kota Jakarta Timur
